,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
,409,1xqjwv48e7ysguu3,1684,,,#NULL!,#NULL!
,409,1xqjwv48e7ysguu3,1684,,,#NULL!,#NULL!
,409,1xqjwv48e7ysguu3,1684,,,#NULL!,#NULL!
,409,1xqjwv48e7ysguu3,1684,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,410,0j0cf99gm4u1239j,1685,,,#NULL!,#NULL!
,411,7ctbwnetpveq3ezp,1692,,,#NULL!,#NULL!
,411,7ctbwnetpveq3ezp,1692,,,#NULL!,#NULL!
,411,7ctbwnetpveq3ezp,1692,,,#NULL!,#NULL!
,411,7ctbwnetpveq3ezp,1692,,,#NULL!,#NULL!
,411,7ctbwnetpveq3ezp,1692,,,#NULL!,#NULL!
,411,7ctbwnetpveq3ezp,1692,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,412,fxyfy4au5pnemrp2,1699,,,#NULL!,#NULL!
,413,gb7k3x8c5e3a48j4,1704,,,#NULL!,#NULL!
,413,gb7k3x8c5e3a48j4,1704,,,#NULL!,#NULL!
,413,gb7k3x8c5e3a48j4,1704,,,#NULL!,#NULL!
,413,gb7k3x8c5e3a48j4,1704,,,#NULL!,#NULL!
,414,vpwjq2skvvhsdsjw,1708,,,#NULL!,#NULL!
,414,vpwjq2skvvhsdsjw,1708,,,#NULL!,#NULL!
,414,vpwjq2skvvhsdsjw,1708,,,#NULL!,#NULL!
